make,model,engine_size,trim,mileage,transmission_type,reg_year,fuel_type,price
Ford,Kuga,1.8,1.5 EcoBoost 150 ST-Line Edition 5dr,"24,405",Manual,2021,Petrol,"£20,699"
Audi,A3,1.8,30 TFSI Technik 5dr,"12,286",Manual,2020,Petrol,"£17,999"
Peugeot,3008,1.8,1.5 BlueHDi Allure 5dr EAT8,"11,952",Manual,2019,Diesel,"£18,599"
Ford,Fiesta,1.8,1.0 EcoBoost 95 ST-Line Edition 5dr,"36,539",Manual,2021,Petrol,"£12,499"
Ford,Kuga,1.8,1.5 EcoBlue ST-Line Edition 5dr,"16,146",Manual,2021,Diesel,"£19,599"
Ford,Kuga,1.8,2.0 EcoBlue mHEV ST-Line Edition 5dr,"10,938",Manual,2021,Diesel/Electric,"£21,599"
Vauxhall,Crossland X,1.8,1.2 [83] SRi Nav 5dr [Start Stop],"41,947",Manual,2020,Petrol,"£9,999"
Suzuki,Vitara,1.8,1.4 Boosterjet SZ5 ALLGRIP 5dr Auto,"5,403",Manual,2019,Petrol,"£17,999"
Audi,Q3,1.8,35 TFSI Black Edition 5dr,"16,570",Manual,2022,Petrol,"£29,999"
Citroen,C3,1.8,1.2 PureTech Shine 5dr,"18,151",Manual,2021,Petrol,"£11,299"
Vauxhall,Crossland X,1.8,1.2 [83] Griffin 5dr [Start Stop],"46,383",Manual,2020,Petrol,"£9,799"
Citroen,C3,1.8,1.2 PureTech 83 Origins 5dr,"24,913",Manual,2019,Petrol,"£9,999"
Ford,Focus,1.8,1.0 EcoBoost 125 ST-Line X 5dr,"29,790",Manual,2019,Petrol,"£14,999"
Vauxhall,Corsa,1.8,1.2 Turbo Elite Nav 5dr,"36,750",Manual,2020,Petrol,"£9,999"
Toyota,Aygo,1.8,1.0 VVT-i X-Trend TSS 5dr,"41,009",Manual,2020,Petrol,"£8,999"
Hyundai,I10,1.8,1.0 SE 5dr,"29,050",Manual,2019,Petrol,"£7,999"
Nissan,Qashqai,1.8,1.3 DiG-T Acenta Premium 5dr,"11,122",Manual,2020,Petrol,"£13,999"
Vauxhall,Crossland X,1.8,1.2T [130] Elite 5dr [Start Stop],"46,171",Manual,2020,Petrol,"£9,999"
Nissan,Qashqai,1.8,1.3 DiG-T 160 Acenta Premium 5dr DCT,"12,754",Manual,2020,Petrol,"£16,999"
Vauxhall,Astra,1.8,1.4T 16V 150 SRi Nav 5dr,"42,635",Manual,2019,Petrol,"£9,999"
Seat,Leon,1.8,1.5 TSI EVO FR Black Edition [EZ] 5dr,"23,785",Manual,2020,Petrol,"£14,999"
BMW,1 Series,1.8,118d M Sport 5dr [Pro Pack],"26,113",Manual,2021,Diesel,"£21,499"
BMW,X1,1.8,xDrive 20d Sport 5dr Step Auto,"25,867",Manual,2018,Diesel,"£17,699"
Vauxhall,Corsa,1.8,1.4 SRi 5dr,"39,516",Manual,2018,Petrol,"£7,999"
Vauxhall,Grandland X,1.8,1.2 Turbo SRi Nav 5dr,"21,755",Manual,2020,Petrol,"£13,999"
Ford,Focus,1.8,1.0 EcoBoost Hybrid mHEV 125 Titanium Edition 5dr,"7,822",Manual,2021,Petrol/Electric,"£15,999"
Ford,Puma,1.8,1.0 EcoBoost Titanium 5dr Auto,"6,817",Manual,2020,Petrol,"£18,999"
